iso3,country,region,kmeans_cluster,hierarchical_cluster,distance_to_centroid,cluster_name,representative
USA,США,Северная Америка,1,2,4.25423569680296,Кластер 1: умеренные ставки и ниже безработица,да
ISR,Израиль,Ближний Восток,1,2,4.409742739478834,Кластер 1: умеренные ставки и ниже безработица,
CHE,Швейцария,Европа,1,2,4.4445991637783315,Кластер 1: умеренные ставки и ниже безработица,
CZE,Чехия,Европа,1,2,4.767207519287604,Кластер 1: умеренные ставки и ниже безработица,
ITA,Италия,Европа,1,2,4.871058973060661,Кластер 1: умеренные ставки и ниже безработица,
AUS,Австралия,Океания,1,2,5.042216126292758,Кластер 1: умеренные ставки и ниже безработица,
MEX,Мексика,Латинская Америка,1,2,5.5304409645036925,Кластер 1: умеренные ставки и ниже безработица,
PHL,Филиппины,Азия,1,2,5.608667906909645,Кластер 1: умеренные ставки и ниже безработица,
IND,Индия,Азия,1,2,5.647057180250225,Кластер 1: умеренные ставки и ниже безработица,
IDN,Индонезия,Азия,1,2,6.170254560074486,Кластер 1: умеренные ставки и ниже безработица,
EGY,Египет,Ближний Восток/Африка,1,2,6.86607301171708,Кластер 1: умеренные ставки и ниже безработица,
PER,Перу,Латинская Америка,2,1,3.970387957193768,Кластер 2: высокие реальные ставки и напряженный рынок труда,да
COL,Колумбия,Латинская Америка,2,1,4.100394560035424,Кластер 2: высокие реальные ставки и напряженный рынок труда,
MYS,Малайзия,Азия,2,1,4.244677887237238,Кластер 2: высокие реальные ставки и напряженный рынок труда,
ZAF,ЮАР,Африка,2,1,4.571956740536463,Кластер 2: высокие реальные ставки и напряженный рынок труда,
CHL,Чили,Латинская Америка,2,1,5.010649889219155,Кластер 2: высокие реальные ставки и напряженный рынок труда,
KOR,Республика Корея,Азия,2,1,5.485590273780313,Кластер 2: высокие реальные ставки и напряженный рынок труда,
NOR,Норвегия,Европа,2,1,5.520788124350148,Кластер 2: высокие реальные ставки и напряженный рынок труда,
THA,Таиланд,Азия,2,1,5.536324615439386,Кластер 2: высокие реальные ставки и напряженный рынок труда,
KEN,Кения,Африка,2,1,5.605332001802669,Кластер 2: высокие реальные ставки и напряженный рынок труда,
BRA,Бразилия,Латинская Америка,2,1,5.9815165487767965,Кластер 2: высокие реальные ставки и напряженный рынок труда,
CHN,Китай,Азия,2,1,6.832616423049707,Кластер 2: высокие реальные ставки и напряженный рынок труда,
