,USA,MEX,BRA,CHL,COL,PER,ITA,CZE,NOR,CHE,CHN,KOR,IND,IDN,THA,MYS,PHL,AUS,ZAF,EGY,ISR,KEN
USA,0.0,0.38497089717144495,0.8244620080714272,0.6182198465689108,0.48611035595692165,0.4216329950027212,0.4341109037536416,0.28263617077941816,0.6145620517550403,0.3160843754725622,0.8821790990251355,0.6500146250079819,0.5203173370102843,0.5856739506388118,0.7885687806743588,0.7103011528413171,0.5049182428522769,0.4885896396026237,0.7693420374832749,0.8011015201991205,0.21201806363529685,0.7887610664744648
MEX,0.38497089717144495,0.0,0.9323998387791359,0.6680125849057954,0.5409918304051642,0.70261362046518,0.6932042271149149,0.5520720288683099,0.6458606472954806,0.5465006622842492,0.8575024168803357,0.6117868371506991,0.6490910082016148,0.6384306929207257,0.8746995234713878,0.6296361681074325,0.29125940432574393,0.6047067456887245,0.6899845938568039,0.8245831534919843,0.5720291995923007,0.9296738791246849
BRA,0.8244620080714272,0.9323998387791359,0.0,0.6739698402344058,0.5446720333874739,0.5279805685145224,0.8681346709786384,1.0890520214686188,0.5673120142994542,0.7207946199263091,0.9150200405184189,0.5352010059557888,0.7785842005431709,0.8249040385584165,0.7951839892631734,0.5629735479947661,1.1088783749542201,0.7972185723189786,0.42050462947044887,1.2760696127515487,0.9499280803163468,0.6649722975257941
CHL,0.6182198465689108,0.6680125849057954,0.6739698402344058,0.0,0.33472536766740346,0.22337524042136347,0.7671017934047024,0.7720527996873147,0.5687235301992901,0.6455420363350797,0.706428064742719,0.47533784645905774,0.9470999002136801,0.814088444917592,0.6059821542265211,0.4722285101814292,0.8197641435644687,0.7542988521836858,0.48336040725320517,1.219481019482692,0.7237577381132103,0.6155232288096879
COL,0.48611035595692165,0.5409918304051642,0.5446720333874738,0.33472536766740346,0.0,0.2262303308135245,0.6921674079857816,0.711195427350193,0.28899552613498025,0.4095081168771397,0.7000400463837935,0.5664782637809842,0.7848384939362157,0.6776979073601246,0.45900624250769806,0.3123764296843321,0.7506028458359296,0.5944747759755677,0.3561531880387291,1.0645103314957378,0.6297547526868639,0.5564486867247171
PER,0.4216329950027212,0.70261362046518,0.5279805685145224,0.22337524042136347,0.2262303308135245,0.0,0.5275012961590045,0.5923870150118606,0.4321010258291821,0.47217513631693675,0.6741621888615346,0.41995993023468914,0.8038152571436475,0.8070858592826929,0.5414221542227885,0.3917408841310569,0.9104063525328017,0.5204682639041509,0.3574218165127141,1.1448709514061193,0.5834667875386257,0.4476801435221993
ITA,0.4341109037536417,0.693204227114915,0.8681346709786384,0.7671017934047024,0.6921674079857816,0.5275012961590045,0.0,0.28251437721011186,0.5257388722266197,0.2505601502355921,1.0470646265639987,0.5098265203241807,0.568381414444921,0.8383221014160979,0.8695218977119312,0.8750079793388663,0.7496080339803906,0.30776138688384236,0.8558190851651978,0.6155748267747836,0.34320185524675917,0.763199194737353
CZE,0.28263617077941816,0.5520720288683099,1.0890520214686188,0.7720527996873147,0.711195427350193,0.5923870150118606,0.28251437721011186,0.0,0.7110361596118422,0.43087811509249196,1.1238771561045708,0.7143853796664572,0.7484236368824242,0.7359721287608979,0.9928370614968792,0.9771087557821755,0.5925660356157347,0.4806904987974313,0.9607230700342468,0.6412295531433562,0.2379493403224192,0.9201484493177531
NOR,0.6145620517550403,0.6458606472954806,0.5673120142994541,0.5687235301992901,0.28899552613498036,0.4321010258291821,0.5257388722266197,0.7110361596118422,0.0,0.28204913375916973,0.9563999653171771,0.5027190107371674,0.7861201424695522,0.8108466686072082,0.5734534712226352,0.46615541201374444,0.8061751119264764,0.5004981708404599,0.5190795778499121,0.9060098303972851,0.7475359008011286,0.8123698460377083
CHE,0.3160843754725622,0.5465006622842492,0.7207946199263091,0.6455420363350797,0.4095081168771397,0.47217513631693675,0.25056015023559197,0.43087811509249196,0.28204913375916973,0.0,0.9326213046448469,0.46774646694456334,0.5212919204852366,0.6435544737451935,0.598944751717249,0.6262880989434658,0.5820047582775462,0.37022923145922826,0.7619073472554508,0.6921959315934835,0.3397584823785692,0.8243008671868335
