,USA,MEX,BRA,CHL,COL,PER,ITA,CZE,NOR,CHE,CHN,KOR,IND,IDN,THA,MYS,PHL,AUS,ZAF,EGY,ISR,KEN
USA,0.0,0.8774632723612368,1.28410436341555,1.1119530984433748,0.9860125313168405,0.9182951540792549,0.9317842065131193,0.751845956003513,1.108658695681444,0.7950904042592419,1.3282914582463712,1.14018825200752,1.0201150297983892,1.0822882708768602,1.2558413758706621,1.1918902238388542,1.0049062074166695,0.9885237878803156,1.2404370499813966,1.2657815926921363,0.6511805642604773,1.2559944796649904
MEX,0.8774632723612368,0.0,1.3655766831482854,1.1558655500583064,1.0401844359585124,1.185422811038475,1.1774584724013963,1.0507825929927748,1.1365391742438804,1.0454670365767151,1.3095819309079795,1.1061526451179324,1.1393779076334725,1.1299829139599642,1.3226484971233952,1.1221730420103957,0.7632291979815032,1.0997333728579164,1.174720897793858,1.2841987022980397,1.06960665629221,1.3635790253041333
BRA,1.28410436341555,1.3655766831482854,0.0,1.161008044963002,1.0437164685751337,1.0275996968805727,1.317675734753159,1.4758401142865163,1.0651873208966154,1.200662000669888,1.3527897401432485,1.034602344822192,1.2478655380634334,1.2844485498130447,1.26109792582747,1.0611065431847702,1.4892134668704955,1.262710237797238,0.9170655695973424,1.597541619333624,1.3783526981990835,1.1532322381253435
CHL,1.1119530984433748,1.1558655500583064,1.161008044963002,0.0,0.8181996916002882,0.6683939563182233,1.238629721429857,1.2426204566860428,1.066511631628357,1.1362588053212874,1.1886362477585137,0.9750259960217036,1.3762993135315298,1.2760003486814508,1.1008925054032488,0.9718317860426559,1.280440661307246,1.2282498542101976,0.9832196166200157,1.561717656609345,1.2031273732346133,1.1095253298683072
COL,0.9860125313168405,1.0401844359585124,1.0437164685751337,0.8181996916002882,0.0,0.6726519617358211,1.1765775860399363,1.192640287220076,0.7602572276999147,0.9049951567573603,1.1832498015075206,1.0644043064371584,1.2528675061124506,1.164214677248251,0.9581296806880559,0.7904130941277882,1.2252369940839443,1.0903896330904541,0.8439824501003905,1.4591163980270645,1.122278711093518,1.0549395117491023
PER,0.9182951540792549,1.185422811038475,1.0275996968805727,0.6683939563182233,0.6726519617358211,0.0,1.0271331911285944,1.088473256457742,0.9296246832234845,0.971776863602892,1.1611737069547645,0.9164714182501157,1.2679237020764675,1.2705005779476788,1.0405980532585946,0.8851450549272217,1.3493749312424637,1.0202629699289794,0.8454842594782166,1.5131893149279896,1.080246997254448,0.9462347948814812
ITA,0.9317842065131193,1.1774584724013963,1.317675734753159,1.238629721429857,1.1765775860399363,1.0271331911285944,0.0,0.751683945831108,1.025415888531692,0.7078985100077443,1.4471106568358887,1.0097787087517553,1.066190803228879,1.2948529657193497,1.3187280976091555,1.3228816873317633,1.2244247906510146,0.7845525946472197,1.308295903200188,1.1095718334337652,0.828494846389233,1.2354749651347476
CZE,0.751845956003513,1.0507825929927748,1.4758401142865163,1.2426204566860428,1.192640287220076,1.088473256457742,0.751683945831108,0.0,1.1925067376009597,0.9283082624780326,1.49925125052779,1.195311992465948,1.223457099274367,1.2132370986422218,1.409139497350691,1.3979333001128311,1.0886377134894187,0.9805003812313706,1.3861623786802517,1.1324571101312015,0.6898541009842868,1.356575430499722
NOR,1.108658695681444,1.1365391742438804,1.0651873208966154,1.066511631628357,0.7602572276999147,0.9296246832234845,1.025415888531692,1.1925067376009597,0.0,0.7510647558755099,1.3830401044924021,1.0027153242442917,1.2538900609459764,1.2734572380784588,1.0709374129449725,0.9655624392174174,1.2697835342502095,1.0004980468151445,1.018900954803667,1.346112796460449,1.222731287569864,1.2746527731407549
CHE,0.7950904042592419,1.0454670365767151,1.200662000669888,1.1362588053212874,0.9049951567573603,0.971776863602892,0.7078985100077443,0.9283082624780326,0.7510647558755099,0.0,1.3657388510581714,0.9672088367509505,1.0210699491075395,1.1345082403801159,1.0944813856043867,1.1191855064675076,1.0788927270841584,0.8604989616021955,1.2344288940683872,1.176601828651888,0.8243281899566085,1.2839788683516824
