,USA,MEX,BRA,CHL,COL,PER,ITA,CZE,NOR,CHE,CHN,KOR,IND,IDN,THA,MYS,PHL,AUS,ZAF,EGY,ISR,KEN
USA,0.0,0.8998784215592787,2.001323705307213,1.0732977321173303,1.132661669681929,1.6333215438637465,0.8616864960465342,0.8430742900574258,1.3609396851228273,0.6915181809724099,1.2709819366813786,0.7401643365289681,1.2120288608006429,0.916199101500993,1.0509912258378822,1.0173139181234139,1.1389919008225862,0.5675216458827005,1.9982657262497288,1.8840961276349366,0.5428079176436886,1.1361840533393053
MEX,0.8998784215592787,0.0,1.9027786119800358,0.8507067017036907,1.0104574408268165,1.380993339967264,1.0658703440850519,1.2286841173457352,1.4643944135872498,0.9406573168765301,1.2409752393327247,0.8377687093072318,0.9649418563174684,0.7939248986866361,0.8466975841510301,0.8189626234696222,0.6380304452387563,0.969261874858156,2.0359284202253423,2.0453260808714773,0.9790552406645041,1.1063763271095763
BRA,2.001323705307213,1.9027786119800358,0.0,1.7956198043513567,1.54403584267801,1.7622563908197384,2.013731583457938,2.1403710107310867,2.133446799147408,2.100790308992181,2.1676791105621525,2.001268341100182,1.89182656978886,1.7735561211245174,2.1108487088605106,1.971738635648812,1.9705334359129063,1.9218090160367958,2.1769504527763384,2.5311667642501914,2.0543820175716565,1.6062872501355674
CHL,1.0732977321173303,0.8507067017036907,1.7956198043513567,0.0,0.47332534429289375,0.9189372118718164,0.9984430975624963,1.176996460422924,1.5064818420313173,1.1661556453959923,1.15183045914312,0.9891804678166634,1.0198393756230308,1.0288968571496029,0.9599651196267192,0.8326031905501058,0.9041825732694216,1.1838371056093542,1.8447484043996047,1.9445529220679638,0.9527631883188121,1.0961787602525264
COL,1.132661669681929,1.0104574408268165,1.54403584267801,0.47332534429289375,0.0,1.024585610416801,0.9890333033314169,1.2441730796947779,1.6866086778584857,1.3534058610357618,1.3861226814297258,1.2293687020645374,1.0572166017913627,1.1772503957089875,1.2723284397630126,1.0866820653365667,1.0510315131668648,1.2929035629919323,1.6282480561785773,1.8621533489826858,1.0988874743540147,1.1054582305201095
PER,1.6333215438637465,1.380993339967264,1.7622563908197384,0.9189372118718164,1.024585610416801,0.0,1.4124865910458866,1.5148324647308478,1.856968023341995,1.6316126963468713,1.5534478591058687,1.4516431789773205,1.382564939350733,1.4392979851219072,1.2881581380484113,1.236750604004977,1.2278848144534729,1.643803801895352,2.3366032031455988,2.5289717999589856,1.3783447392971768,1.4428307337021733
ITA,0.8616864960465342,1.0658703440850519,2.013731583457938,0.9984430975624963,0.9890333033314169,1.4124865910458866,0.0,1.028872955759295,1.5819873876655377,1.028055489027178,1.6532978180810056,1.1823152505169618,1.3269074924834852,1.3384425707586665,1.2267900502832745,1.188436610678301,1.2497348656752336,1.09963032666667,1.8617250744112568,2.1277237773074256,0.889618667946615,1.4310053739522661
CZE,0.8430742900574258,1.2286841173457352,2.1403710107310867,1.176996460422924,1.2441730796947779,1.5148324647308478,1.028872955759295,0.0,1.3820238847950326,1.2197066562020031,1.7414898362709008,1.2277942505318253,1.529826892363875,1.376681662573673,1.3067120622460058,1.4256083175614656,1.4424807174159338,1.0335023259315312,2.3094938269378695,1.7105305797935813,1.0523664094923753,1.4282981749262722
NOR,1.3609396851228273,1.4643944135872498,2.133446799147408,1.5064818420313173,1.6866086778584857,1.856968023341995,1.5819873876655377,1.3820238847950326,0.0,1.3184398729167837,1.7095954535723548,1.3234008502238708,1.7359313825121334,1.3039117856270994,1.5126881834191086,1.43829185127797,1.7370884183365565,1.2097312795853536,2.4336010807503126,2.2037421170249014,1.4269767242207518,1.6163108482623998
CHE,0.6915181809724099,0.9406573168765301,2.100790308992181,1.1661556453959923,1.3534058610357618,1.6316126963468713,1.028055489027178,1.2197066562020031,1.3184398729167837,0.0,1.115729757003661,0.4503750068298208,1.3839292503817127,0.8733923975968614,0.7786821180524464,0.8011031542856815,1.0688914531447558,0.5085819192708653,2.1385860647010575,2.352472876784858,0.6901694659482445,1.241460307461054
CHN,1.2709819366813786,1.2409752393327247,2.1676791105621525,1.15183045914312,1.3861226814297258,1.5534478591058687,1.6532978180810056,1.7414898362709008,1.7095954535723548,1.115729757003661,0.0,0.7826688090746623,1.0525186261736026,0.7376472526876588,0.9838672655017838,0.7289032452939758,1.0315107971712743,1.169368958002337,2.313524084330798,2.379971374280878,0.9471976559459175,1.1097980120111441
